Name,Description,Category,Installs,Score,No_of_Rating,InApp_Products_Price,Min_Product_Price,Max_Product_Price,Size,Ads,Last Update,Price,IAP,Android,Permissions
Threesome Dating App for Swingers & Couples - 3way 96,"Adult Hookup Dating for Bisexual Curious, 3some, BDSM and Fet Lifestyle",Dating,"100,000",4.2,"3,112",$4.99 - $59.99 per item,4.99,59.99 ,12,no,Thu Dec 17 2020,Free,yes,4.2,17
Twinkle Local Dating App – Meet people 38,"Give up endless swiping. Swipe less, match more.",Dating,"100,000",4.2,698,$1.50 - $14.00 per item,1.50,14.00 ,18,yes,Thu Dec 17 2020,Free,yes,5.1,12
Upward: Christian Dating 64,#1 downloaded Christian dating app in 2020 in the U.S. (Formerly known as FTH),Dating,"100,000",3.9,"11,885",$1.99 - $47.99 per item,1.99,47.99 ,49,yes,Thu Jan 28 2021,Free,yes,5,13
"iris - Free Dating, Connections & Relationships 34",Iris Uses Artificial Intelligence to Reduce the Time It Takes to Find a Match.,Dating,"100,000",4.2,"3,778",$9.99 per item,0,10,103,no,Sat Jan 23 2021,Free,yes,5,11
3Somer: Threesome Dating App for Couples Dating 3,"3some Dating App to Meet, Date & Chat with Open-minded Couples and Singles",Social,"50,000",4.3,784,$14.99 - $99.99 per item,4.99,99.99 ,17,no,Mon Nov 16 2020,Free,yes,4.2,17
"Catch, FWB Hookup Dating App 11","Local NSA Finder and Casual Hook Up Dating, Seeking Pure Friends with Benefits",Dating,"50,000",4.6,"1,580",$9.99 - $89.99 per item,9.99,89.99 ,42,no,Wed Jan 13 2021,Free,yes,6,22
Fiorry: Transgender Dating 69,Social network & dating app for trans/LGBTQ+ people & their allies,Dating,"50,000",3.8,816,$4.99 - $119.99 per item,4.99,119.99,58,no,Mon Dec 21 2020,Free,yes,6,13
Kippo - The Dating App for Gamers 20,Kippo is the dating and social app for gamers. Meet new people everywhere.,Dating,"50,000",3.6,660,$9.99 - $54.99 per item,9.99,54.99 ,39,no,Thu Jan 28 2021,Free,yes,5,8
USdate - Nearby USA Dating for US singles 57,"Free US Nearby dating app, you can find,meet and chat with people in USA",Dating,"50,000",3.8,131,$3.49 - $31.99 per item,3.49,31.99 ,12,yes,Sun Aug 09 2020,Free,yes,5,11
WhatsChat – Your app for chatting and dating 88,Chat with amazing singles 💕 and meet your dream partner,Dating,"50,000",4.8,"1,853",$0.99 - $139.99 per item,0.99,139.99,4.1,no,Mon Dec 07 2020,Free,yes,4.2,10
YoHoo - Casual Dating & Hook Up App 118,"Free dating apps for adults, date hookup & flirt app, Pure wild singles meet me.",Dating,"50,000",4.7,370,$4.99 - $109.99 per item,4.99,109.99,24,no,Mon Jan 25 2021,Free,yes,5,19
"BBW Dating App: Meet,Date & Hook up Curvy Singles 31",Best hookup site. Chat & flirt with plus size adults & chubby women @ BBWoo,Dating,"10,000",4.5,396,$14.99 - $99.99 per item,4.99,99.99 ,9.6,no,Thu Dec 31 2020,Free,yes,5,19
Farmers Dating Only for Country Singles - FarmersD 86,"The best farmers Online Dating site for country singles, cowboys & cowgirls",Dating,"10,000",4.1,"1,322",$0.99 - $29.99 per item,0.99,29.99 ,39,no,Mon Jan 11 2021,Free,yes,5,17
